Artist,Release Title,Year,ID,Format,Resource URL,Stats,Thumb
Double Exposure / Salsoul Orchestra*,My Love Is Free / It Don't Have To Be Funky (To Be A Groove),1976,7326,"1, 2, """,https://api.discogs.com/releases/7326,"{'community': {'in_wantlist': 431, 'in_collection': 611}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/1RxJt_r3x4ipkNASUg3dw8x65wcMJONJ9tOR4at47eA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTczMjYt/MTM1NTYwODE4MC0y/Njc4LmpwZWc.jpeg
Moment Of Truth,So Much For Love,1976,7327,"1, 2, """,https://api.discogs.com/releases/7327,"{'community': {'in_wantlist': 318, 'in_collection': 432}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/05Gw7vqp1I66Idv2cOWqCN2SwHAwjK_kV-AoezbIIzk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTczMjct/MTE3NTcyODU0Mi5q/cGVn.jpeg
Eddie Holman,This Will Be A Night To Remember,1977,7328,"1, 2, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/7328,"{'community': {'in_wantlist': 90, 'in_collection': 304}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/M3HhPx1FK45YR7rR1tk1-AHv-Vsdv07FAzk3jJs5uc0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTczMjgt/MTY4ODUxMDA5My05/NjE5LmpwZWc.jpeg
The Salsoul Orchestra,Magic Bird Of Fire,1977,7329,"1, 2, """,https://api.discogs.com/releases/7329,"{'community': {'in_wantlist': 276, 'in_collection': 616}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/hlxawLKM71OUzJIDyJsAg4VgGFcr_b0pzwgUDvtuYbI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTczMjkt/MTUxODg4Mzc1Ni01/OTYwLmpwZWc.jpeg
Lemon,Freak On,1978,7471,"1, 2, "", ,,  , P, r, o, m, o, ,,  , Y, e, l",https://api.discogs.com/releases/7471,"{'community': {'in_wantlist': 72, 'in_collection': 137}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/AS4YDA8Ti7tqQT25IKKc5wmx-VnTfJ72iTGiEpUQypA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc0NzEt/MTM2Mzg5MjUwMi0y/MjM5LmpwZWc.jpeg
Ripple,The Beat Goes On And On,1977,7473,"1, 2, "", ,,  , R, P",https://api.discogs.com/releases/7473,"{'community': {'in_wantlist': 429, 'in_collection': 259}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/GBwqZRuz-xuaHoGmAxNI4cXlq1grMFSKdUZFVkcYads/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc0NzMt/MTE3NjI0MDcwMC5q/cGVn.jpeg
David Boydell,Wish It Were Me (Dub Dancing),1978,7474,"1, 2, "", ,,  , S, i, n, g, l, e, ,,  , P, r, o, m, o",https://api.discogs.com/releases/7474,"{'community': {'in_wantlist': 24, 'in_collection': 87}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/y4CnhQLFJolnPNUaasT04Xczss_wqz6gmNgBcKTBXlE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc0NzQt/MTQzMTM2MjY3MC0z/MDIxLmpwZWc.jpeg
Aurra,Make Up Your Mind,1981,7475,"1, 2, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/7475,"{'community': {'in_wantlist': 371, 'in_collection': 763}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/yUSeKRJaq4zZIGfJfc4b89Hiy0L1vRamJhV7wX9c1rU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc0NzUt/MTE4NTU0NzQ3NC5q/cGVn.jpeg
Skyy,Skyyzoo,1980,7477,"1, 2, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/7477,"{'community': {'in_wantlist': 246, 'in_collection': 538}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/9stznRtrktUYYgElLgV04Sxem9IeuOOsXSJKMSdfu9M/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc0Nzct/MTMxNjM3OTI2NS5q/cGVn.jpeg
Double Exposure,Ten Per Cent,1976,8786,"1, 2, "", ,,  , L, t, d",https://api.discogs.com/releases/8786,"{'community': {'in_wantlist': 676, 'in_collection': 1088}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/QsiR7IKdWJqLdSP9dD50eeT3vmuev6S-pZ6R4rVk-Hs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg3ODYt/MTE4MTMyMTE4My5q/cGVn.jpeg
Spiller,Groovejet (If This Ain't Love),2000,15300,"1, 2, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/15300,"{'community': {'in_wantlist': 2379, 'in_collection': 3853}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/R9UNO83RssN-3uuqIUR6ZYbRL8LavyY02ZGs2tClsW4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzAw/LTExODQ1MTQ4NDYu/anBlZw.jpeg
Candido,Jingo,1999,22237,"1, 2, """,https://api.discogs.com/releases/22237,"{'community': {'in_wantlist': 244, 'in_collection': 317}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/oxXL6d1m8QqUcp9YLRk6vSF2k5ceBkuGovYwJ9chxsw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyMjM3/LTEyMDEzMzY5OTcu/anBlZw.jpeg
Candido,Jingo,1999,22237,"1, 2, """,https://api.discogs.com/releases/22237,"{'community': {'in_wantlist': 244, 'in_collection': 317}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/oxXL6d1m8QqUcp9YLRk6vSF2k5ceBkuGovYwJ9chxsw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyMjM3/LTEyMDEzMzY5OTcu/anBlZw.jpeg
Inner Life,Ain't No Mountain High Enough,1999,40360,"1, 2, """,https://api.discogs.com/releases/40360,"{'community': {'in_wantlist': 335, 'in_collection': 162}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/PccEEVp7-iUGQpI25yRYmz6oTFHLqcaTN_3VsBqL4XM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwMzYw/LTE2ODY2NzQwNDUt/NzE0My5qcGVn.jpeg
Cevin Fisher Feat. Loleatta Holloway,(You Got Me) Burning Up,1999,43738,"1, 2, """,https://api.discogs.com/releases/43738,"{'community': {'in_wantlist': 113, 'in_collection': 940}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/uzHGnEnYe_pAhlx3ghp78RmNK7xR0d4nUUYh5rXfZQc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQzNzM4/LTExOTc4MjAwNTIu/anBlZw.jpeg
Loleatta Holloway,Dreamin',2000,44773,"1, 2, """,https://api.discogs.com/releases/44773,"{'community': {'in_wantlist': 90, 'in_collection': 319}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/yTLprtpGlpgkICyP_i3vGzB9q0Pv_49A2J7zUkEtV6I/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0Nzcz/LTExOTQ3MTA4MTcu/anBlZw.jpeg
Narcotic Thrust,Safe From Harm,2002,46588,"C, D, ,,  , S, i, n, g, l, e, ,,  , E, n, h",https://api.discogs.com/releases/46588,"{'community': {'in_wantlist': 50, 'in_collection': 224}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/9b_Wld1pYHzvozeNEAr6DgGC3BzJyTiDwrVxDv6D0J8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ2NTg4/LTEyNjAwMjAxOTku/anBlZw.jpeg
Jimmy Caster*,It's Just Begun,1983,54270,"1, 2, """,https://api.discogs.com/releases/54270,"{'community': {'in_wantlist': 100, 'in_collection': 93}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/3kxR4Rl0blK14P-WaHdf56gxOrw2ZPe282mCLuJYbYM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0Mjcw/LTEzMTcyMDY3OTEu/anBlZw.jpeg
Joe Bataan And The Mestizo Band,Rap-O-Clap-O,1990,54580,"1, 2, "", ,,  , M, a, x, i",https://api.discogs.com/releases/54580,"{'community': {'in_wantlist': 94, 'in_collection': 95}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/GmP5V4mPg8ZHV0FL1ypHurtnpGwdrP6lDcGnJ7R-Hh4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0NTgw/LTE0MzUyNTI3ODYt/NDc5MS5qcGVn.jpeg
EZ*,Pure Garage II,2000,55147,"2, x, C, D, ,,  , M, i, x, e, d",https://api.discogs.com/releases/55147,"{'community': {'in_wantlist': 92, 'in_collection': 178}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/ey4fWIkqC0Jmo14HETZCwIlc-eQ0uPpbgtspyA9_FRQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1MTQ3/LTE1NDY1ODAzMDQt/NDMwMS5qcGVn.jpeg
Skyy,Here's To You / Superlove,1980,57985,"7, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/57985,"{'community': {'in_wantlist': 218, 'in_collection': 162}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/G0g0K_tsgS6zzQhjCCIyPg0tJ9nLk4Thkb2TTj4UqPk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU3OTg1/LTExNjQ1NTUzODIu/anBlZw.jpeg
Skyy,Skyy Line,1981,58339,"L, P, ,,  , A, l, b, u, m, ,,  , I, n, d",https://api.discogs.com/releases/58339,"{'community': {'in_wantlist': 497, 'in_collection': 2217}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/GHI8dHSJkZHnFWzmFjAbuorBmD1-JuJC65QH6iHrfDc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU4MzM5/LTE1NTgyOTI0NTkt/MTE4Ni5qcGVn.jpeg
Kebekelektrik,Kebekelektrik,1978,64351,"L, P, ,,  , A, l, b, u, m",https://api.discogs.com/releases/64351,"{'community': {'in_wantlist': 612, 'in_collection': 751}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/omub00m72rrvNvjwD3MxrC-IRbOeEx4SY_WLOx7FZyQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY0MzUx/LTE0OTIyMjQ2MDEt/MTkxMS5qcGVn.jpeg
Various,Upfront 9 - A Sign Of The Times,1987,65283,"2, x, L, P, ,,  , C, o, m, p",https://api.discogs.com/releases/65283,"{'community': {'in_wantlist': 117, 'in_collection': 916}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/amm2QKzmQfTrUVCmMjD3ozHpZwZb2RDi11tCrlBd8U0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY1Mjgz/LTEzMDM1MTMzMzMu/anBlZw.jpeg
Tony Touch Featuring Total,I Wonder Why? He's The Greatest DJ - The Remixes,2000,67814,"1, 2, """,https://api.discogs.com/releases/67814,"{'community': {'in_wantlist': 93, 'in_collection': 338}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/DmHTaBtBgO1461V_smKvRpQtjVxkueGw_O4PWeDAM78/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY3ODE0/LTEzNjg5MDY0MTUt/MzIzNy5qcGVn.jpeg
Skyy,First Time Around,1979,75604,"1, 2, "", ,,  , S, i, n, g, l, e, ,,  , R, C, A",https://api.discogs.com/releases/75604,"{'community': {'in_wantlist': 525, 'in_collection': 483}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/3cXnUF0Opwf4SmRZfmfwLmy8uc0vxSQNwRMYtof0R2I/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc1NjA0/LTExNTcxODIxMjQu/anBlZw.jpeg
The Salsoul Orchestra,Nice 'N' Naasty,1976,75606,"1, 2, "", ,,  , P, i, t",https://api.discogs.com/releases/75606,"{'community': {'in_wantlist': 335, 'in_collection': 998}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/4pKv3-CL7PMIcS3-Gr2wsOp7ScpZ2swEoTd727exi58/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc1NjA2/LTE1MzQ5MDg4NDUt/NTQ3MC5qcGVn.jpeg
Instant Funk,Everybody,1980,75755,"1, 2, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/75755,"{'community': {'in_wantlist': 142, 'in_collection': 222}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/rKlX71pOjYQuhNh4SF8KeF0RmpM2K663C56f24nytlQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc1NzU1/LTE1NTA5ODUwOTgt/MjkxNy5qcGVn.jpeg
Joe Bataan,Rap-O Clap-O,1979,75756,"1, 2, "", ,,  , S, i, n, g, l, e, ,,  , G, o, l",https://api.discogs.com/releases/75756,"{'community': {'in_wantlist': 321, 'in_collection': 858}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/apazxSe2WGTLKxfGo9uqwZNvBwEQPs5ywJFR41SEktI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc1NzU2/LTExNjg2OTQ2NDEu/anBlZw.jpeg
Skyy,Let's Celebrate,1981,86018,"1, 2, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/86018,"{'community': {'in_wantlist': 211, 'in_collection': 451}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/ODMmZXeNcgYYLAYHjjOwVB7bHdNZuIR_XR0JU1_vqBc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg2MDE4/LTEzNzU5ODY3NTkt/NTcyNS5qcGVn.jpeg
The Miami Disco Band Featuring Beverly Barkley,(I Wanna) Go Home With You,1979,86023,"1, 2, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/86023,"{'community': {'in_wantlist': 77, 'in_collection': 191}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/g4Xk407eSdizwjl3eCyxxTTS3-E9sg4LniuvfsBEjnU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg2MDIz/LTE1NzA4MDMxNjYt/MjEwNC5qcGVn.jpeg
Bunny Sigler,Glad To Be Your Lover / I'm Funkin' You Tonight (With My Music),1979,86040,"1, 2, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/86040,"{'community': {'in_wantlist': 40, 'in_collection': 97}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/XGkO5OazLcR5WTR5A_I1Bumt6KuP-f1zRwJKHhiWwbE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg2MDQw/LTEzMTUzNjY5NTUu/anBlZw.jpeg
Skyy,Call Me,1981,86045,"1, 2, "", ,,  , S, i, n, g, l, e",https://api.discogs.com/releases/86045,"{'community': {'in_wantlist': 292, 'in_collection': 804}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/fnNgXBVxhUTpQIC3Uq0oecZVrFExZ7cG_tYtvwxoou4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg2MDQ1/LTE0MzY2NTM4MTQt/NTEwNC5qcGVn.jpeg
Loleatta Holloway,Love Sensation,1980,87902,"1, 2, "", ,,  , S, i, n, g, l, e, ,,  , I, n, d",https://api.discogs.com/releases/87902,"{'community': {'in_wantlist': 890, 'in_collection': 682}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/GnfNlIq6sjnQfRoNCTIzIKRigLuDv9oEf10-tD-JTwg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg3OTAy/LTExODEzMjE1MjUu/anBlZw.jpeg
Loleatta Holloway,Hit And Run,1977,87905,"1, 2, """,https://api.discogs.com/releases/87905,"{'community': {'in_wantlist': 664, 'in_collection': 764}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/Tadi-3cp8B5mnb1qM3mE3o2Au3c8adF5EH_BgKh45XM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg3OTA1/LTExOTM0OTMxMjUu/anBlZw.jpeg
Loleatta Holloway,Love Sensation,1980,87914,"L, P, ,,  , A, l, b, u, m, ,,  , I, n, d",https://api.discogs.com/releases/87914,"{'community': {'in_wantlist': 623, 'in_collection': 716}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/d7IsUwL4myqwOs6BXIjvAd9YwP7vtp_xVg6ugg28XAs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg3OTE0/LTE2NDYwODgwMjEt/Mzk1MS5qcGVn.jpeg
Loleatta Holloway,Love Sensation,1980,87914,"L, P, ,,  , A, l, b, u, m, ,,  , I, n, d",https://api.discogs.com/releases/87914,"{'community': {'in_wantlist': 623, 'in_collection': 716}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/d7IsUwL4myqwOs6BXIjvAd9YwP7vtp_xVg6ugg28XAs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg3OTE0/LTE2NDYwODgwMjEt/Mzk1MS5qcGVn.jpeg
Inner Life Feat. Jocelyn Brown,I Like It (Like That) (Remixes),1996,90974,"2, x, 1, 2, """,https://api.discogs.com/releases/90974,"{'community': {'in_wantlist': 95, 'in_collection': 178}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/TYiH66qjmK5bOuxFYdx9sB__7cTutXg68HY5ZPSX6EU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkwOTc0/LTEzODg5MzUwMDUt/ODc1OS5qcGVn.jpeg
Candido,Dancin' & Prancin',1979,93277,"L, P, ,,  , A, l, b, u, m",https://api.discogs.com/releases/93277,"{'community': {'in_wantlist': 1525, 'in_collection': 1062}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/WEx6PGP6bCq9DbSTXEAn9FMKm0BYIe2A9tZBCNl2a68/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkzMjc3/LTEzNjkwNTA2MTIt/Nzk2OS5qcGVn.jpeg
Candido,Dancin' & Prancin',1979,93277,"L, P, ,,  , A, l, b, u, m",https://api.discogs.com/releases/93277,"{'community': {'in_wantlist': 1525, 'in_collection': 1062}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/WEx6PGP6bCq9DbSTXEAn9FMKm0BYIe2A9tZBCNl2a68/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkzMjc3/LTEzNjkwNTA2MTIt/Nzk2OS5qcGVn.jpeg
Candido,Dancin' & Prancin',1979,93277,"L, P, ,,  , A, l, b, u, m",https://api.discogs.com/releases/93277,"{'community': {'in_wantlist': 1525, 'in_collection': 1062}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/WEx6PGP6bCq9DbSTXEAn9FMKm0BYIe2A9tZBCNl2a68/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkzMjc3/LTEzNjkwNTA2MTIt/Nzk2OS5qcGVn.jpeg
First Choice,Hold Your Horses,1978,95933,"1, 2, "", ,,  , S, i, n, g, l, e, ,,  , P, r, o, m, o",https://api.discogs.com/releases/95933,"{'community': {'in_wantlist': 57, 'in_collection': 138}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/GDb2saztHZZ49qwyePQevochaLCJK9buP9-dxTQMuMQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk1OTMz/LTExNTkwNzY1Mjgu/anBlZw.jpeg
First Choice,Hold Your Horses,1978,95933,"1, 2, "", ,,  , S, i, n, g, l, e, ,,  , P, r, o, m, o",https://api.discogs.com/releases/95933,"{'community': {'in_wantlist': 57, 'in_collection': 138}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/GDb2saztHZZ49qwyePQevochaLCJK9buP9-dxTQMuMQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk1OTMz/LTExNTkwNzY1Mjgu/anBlZw.jpeg
First Choice,Hold Your Horses,1979,95934,"L, P, ,,  , A, l, b, u, m",https://api.discogs.com/releases/95934,"{'community': {'in_wantlist': 326, 'in_collection': 998}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/n-Uhrg8ktB7AQBWUgn9LYyJDAVwThRYEvBY0L5nMcAs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk1OTM0/LTE1ODA1MTQ0NDEt/NTAxNS5qcGVn.jpeg
First Choice,Double Cross,1979,95935,"1, 2, """,https://api.discogs.com/releases/95935,"{'community': {'in_wantlist': 304, 'in_collection': 238}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/mtxq6Q17Ujs9ChxyU44paFohQGL5dUteF4iKtVUpAgs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk1OTM1/LTE3MjUxNDI2NjEt/Mzg4OC5qcGVn.jpeg
Various,Kiss House Nation,1999,107076,"2, x, C, D, ,,  , C, o, m, p",https://api.discogs.com/releases/107076,"{'community': {'in_wantlist': 41, 'in_collection': 277}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/vpfmkoFDvhoG7F2zfZZKxlcw1YJrLPoLTpKngbT5zg0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNzA3/Ni0xMzc1NTY2NTQw/LTY3MjIuanBlZw.jpeg
Moment Of Truth,Lovin' You Is Killin' Me,1977,107391,"1, 2, """,https://api.discogs.com/releases/107391,"{'community': {'in_wantlist': 71, 'in_collection': 190}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/yIcFDZKDvoNNzAFFdmUe5C8ueFZjSAEbgBknRuqvNHQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNzM5/MS0xMzU1NjQ2MzEy/LTg2MzQuanBlZw.jpeg
Skyy,Movin' Violation,1982,109278,"1, 2, """,https://api.discogs.com/releases/109278,"{'community': {'in_wantlist': 23, 'in_collection': 125}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/ceZNgJyFgR4l4yQecpuvpmV_CCsXOgYM7KnxdqsF7pk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwOTI3/OC0xMTg5MDAyNjk0/LmpwZWc.jpeg
Anthony White,I Can't Turn You Loose,1977,111052,"1, 2, """,https://api.discogs.com/releases/111052,"{'community': {'in_wantlist': 64, 'in_collection': 67}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/Ujfxv0cvnGaLFuBZfNShn4MbTSaYsy-H1P2l9_pjjWs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExMTA1/Mi0xMzExNDI3ODQw/LmpwZWc.jpeg
Da Slammin' Phrogz,Something About The Music,2000,115052,"C, D, ,,  , M, a, x, i",https://api.discogs.com/releases/115052,"{'community': {'in_wantlist': 43, 'in_collection': 161}, 'user': {'in_wantlist': 0, 'in_collection': 0}}",https://i.discogs.com/iwLXFXmnK-kmptUdyZ2jmSRiz5TPsFwBX6XMra5xUVw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExNTA1/Mi0xNjQ0MDQ0NTY2/LTI5NzAuanBlZw.jpeg
